date,open,high,low,close,volume
8/24/2021,363.66,367.9559,361.84,365.51,9076935
8/25/2021,365.6,370.86,365.4,368.39,8775313
8/26/2021,368.375,369.44,364.13,364.38,7861213
8/27/2021,365.1,373.74,364.08,372.63,11060624
8/30/2021,372.56,381.49,370.52,380.66,13525490
8/31/2021,379.95,382.759,378.8,379.38,12255298
9/1/2021,379.59,384.33,378.81,382.05,11524311
9/2/2021,381.5,381.75,374.06,375.28,14761709
9/3/2021,374.75,377.16,373.11,376.26,7511356
9/7/2021,375.88,382.96,373.15,382.18,10658060
9/8/2021,380.16,380.87,374.79,377.57,10991125
9/9/2021,377.64,379.83,376.565,378,8953042
9/10/2021,381.361,383.79,378.26,378.69,11191779
9/13/2021,381.68,381.75,374.3451,376.51,12113995
9/14/2021,377.4,378.59,375.11,376.53,8367306
9/15/2021,377,377.555,367.67,373.92,17793362
9/16/2021,372.79,373.56,369.71,373.06,11566850
9/17/2021,371.405,371.41,361.59,364.72,26059658
9/20/2021,359.3,361.03,349.8,355.7,19616257
9/21/2021,358.5,360.04,355.19,357.48,11654698
9/22/2021,347.23,349.84,340.6901,343.21,43151031
9/23/2021,345.355,349.67,343,345.96,21623221
9/24/2021,343.2387,354.35,342.37,352.96,18755301
9/27/2021,349.805,355.15,347.08,353.58,15185021
9/28/2021,347.97,349.6,338.92,340.65,21092884
9/29/2021,343.15,345.23,338.88,339.61,14176253
9/30/2021,340.445,342.8,338.15,339.39,16360190
10/1/2021,341.61,345.02,338.64,343.01,14773252
10/4/2021,335.53,335.94,322.7,326.23,41887935
10/5/2021,328.58,335.18,326.1638,332.96,35224110
10/6/2021,329.74,334.38,325.8,333.64,26320623
10/7/2021,337,338.84,328.98,329.22,28201997
10/8/2021,331.51,333.4,328.71,330.05,15889692
10/11/2021,327.625,330.46,325.31,325.45,14646273
10/12/2021,323.03,324.38,317.37,323.77,31222568
10/13/2021,326.97,327,322.66,324.54,14520488
10/14/2021,328.355,330.52,327.1,328.53,14218835
10/15/2021,328.68,329.07,322.51,324.76,21385840
10/18/2021,328.95,335.89,327.5,335.34,21238417
10/19/2021,339.645,342.46,337.28,339.99,18707585
10/20/2021,343.445,343.98,339.4531,340.78,13581494
10/21/2021,340.275,342.31,337.8,341.88,15425175
10/22/2021,326.345,329.63,321.11,324.61,35013392
10/25/2021,320.3,329.56,319.72,328.69,34385788
10/26/2021,328.26,330.2099,309.6,315.81,65376977
10/27/2021,314.19,319.25,312.06,312.22,29646934
10/28/2021,312.99,325.52,308.11,316.92,50339197
10/29/2021,320.19,325.9999,319.6,323.57,36640949
11/1/2021,326.04,333.45,326,329.98,31353325
11/2/2021,331.38,334.7895,323.8,328.08,28259036
11/3/2021,327.49,332.15,323.2,331.62,20457118
